
optmask_ds_l2@hiltert_m5_alpha0.3_steps60_ens4_model0178, ens1, mean cosine similarty,0.75949
optmask_ds_l2@hiltert_m5_alpha0.35_steps60_ens4_model0178, ens1, mean cosine similarty,0.7846
optmask_ds_l2@comp_keypoint_alpha0.4_steps60_ens4_model0178, ens1, mean cosine similarty,0.73575
optmask_ds_l2@hiltert_m7_alpha0.35_steps60_ens4_model0178, ens1, mean cosine similarty,0.71791
optmask_ds_l2@hiltert_m5_alpha0.4_steps60_ens4_model0178, ens1, mean cosine similarty,0.80597
optmask_ds_l2@raw_keypoint_alpha0.4_steps60_ens4_model0178, ens1, mean cosine similarty,0.73562
optmask_ds_l2@raw_keypoint_alpha0.3_steps60_ens4_model0178, ens1, mean cosine similarty,0.7216
optmask_ds_l2@hiltert_m7_alpha0.4_steps60_ens4_model0178, ens1, mean cosine similarty,0.73575
optmask_ds_l2@comp_keypoint_alpha0.35_steps60_ens4_model0178, ens1, mean cosine similarty,0.72985
optmask_ds_l2@comp_keypoint_alpha0.3_steps60_ens4_model0178, ens1, mean cosine similarty,0.72327
optmask_ds_l2@hiltert_m7_alpha0.3_steps60_ens4_model0178, ens1, mean cosine similarty,0.695
optmask_ds_l2@raw_keypoint_alpha0.35_steps60_ens4_model0178, ens1, mean cosine similarty,0.73021
optmask_ds_l2@comp_keypoint_alpha0.4_steps70_ens4_model0178, ens1, mean cosine similarty,nan
optmask_ds_l2@hiltert_m7_alpha0.35_steps70_ens4_model0178, ens1, mean cosine similarty,0.73949
optmask_ds_l2@raw_keypoint_alpha0.3_steps70_ens4_model0178, ens1, mean cosine similarty,0.73161
optmask_ds_l2@hiltert_m5_alpha0.35_steps70_ens4_model0178, ens1, mean cosine similarty,0.8101
optmask_ds_l2@raw_keypoint_alpha0.4_steps70_ens4_model0178, ens1, mean cosine similarty,0.74431
optmask_ds_l2@raw_keypoint_alpha0.35_steps70_ens4_model0178, ens1, mean cosine similarty,0.73951
optmask_ds_l2@hiltert_m7_alpha0.3_steps70_ens4_model0178, ens1, mean cosine similarty,0.71869
optmask_ds_l2@hiltert_m5_alpha0.3_steps70_ens4_model0178, ens1, mean cosine similarty,0.78663
optmask_ds_l2@hiltert_m5_alpha0.4_steps70_ens4_model0178, ens1, mean cosine similarty,0.82929
optmask_ds_l2@comp_keypoint_alpha0.35_steps70_ens4_model0178, ens1, mean cosine similarty,0.73829
optmask_ds_l2@hiltert_m7_alpha0.4_steps70_ens4_model0178, ens1, mean cosine similarty,0.75468
optmask_ds_l2@comp_keypoint_alpha0.3_steps70_ens4_model0178, ens1, mean cosine similarty,0.73223
optmask_ds_l2@comp_keypoint_alpha0.31_steps60_ens4_model0178, ens1, mean cosine similarty,0.72417
optmask_ds_l2@comp_keypoint_alpha0.29_steps60_ens4_model0178, ens1, mean cosine similarty,0.72042
optmask_ds_l2@comp_keypoint_alpha0.32_steps60_ens4_model0178, ens1, mean cosine similarty,0.72631
optmask_ds_l2@comp_keypoint_alpha0.28_steps60_ens4_model0178, ens1, mean cosine similarty,0.71878
optmask_ds_l2@comp_keypoint_alpha0.25_steps60_ens4_model0178, ens1, mean cosine similarty,0.71214
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps30_n5_bound2.5ens4_model0178, ens1, mean cosine similarty,0.57179
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps30_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.6313
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps30_n5_bound3ens4_model0178, ens1, mean cosine similarty,0.55452
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps30_n5_bound2ens4_model0178, ens1, mean cosine similarty,0.59444
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps40_n5_bound2ens4_model0178, ens1, mean cosine similarty,0.61649
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps40_n5_bound2.5ens4_model0178, ens1, mean cosine similarty,0.59248
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps40_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.6553
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps40_n5_bound3ens4_model0178, ens1, mean cosine similarty,0.57573
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps50_n5_bound1.5ens4_model0178, ens1, mean cosine similarty,0.67134
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps50_n5_bound2ens4_model0178, ens1, mean cosine similarty,0.63195
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps60_n5_bound3ens4_model0178, ens1, mean cosine similarty,0.60124
optmask_dem_v2_l2@comp_keypoint_alpha0.25_steps50_n5_bound3ens4_model0178, ens1, mean cosine similarty,0.59022
